"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Beltrami County, MN"	"27007"	Suppressed	183519	Suppressed
	"Benton County, MN"	"27009"	Suppressed	158367	Suppressed
	"Big Stone County, MN"	"27011"	Suppressed	20315	Suppressed
	"Blue Earth County, MN"	"27013"	Suppressed	263673	Suppressed
	"Brown County, MN"	"27015"	Suppressed	101131	Suppressed
	"Carlton County, MN"	"27017"	Suppressed	142098	Suppressed
	"Carver County, MN"	"27019"	Suppressed	393760	Suppressed
	"Cass County, MN"	"27021"	Suppressed	115175	Suppressed
	"Chippewa County, MN"	"27023"	Suppressed	48292	Suppressed
	"Chisago County, MN"	"27025"	Suppressed	217387	Suppressed
	"Clay County, MN"	"27027"	Suppressed	247840	Suppressed
	"Clearwater County, MN"	"27029"	Suppressed	35310	Suppressed
	"Cook County, MN"	"27031"	Suppressed	21025	Suppressed
	"Cottonwood County, MN"	"27033"	Suppressed	46093	Suppressed
	"Crow Wing County, MN"	"27035"	Suppressed	254325	Suppressed
	"Dakota County, MN"	"27037"	23	1657475	1.4
	"Dodge County, MN"	"27039"	Suppressed	81828	Suppressed
	"Douglas County, MN"	"27041"	Suppressed	147985	Suppressed
	"Faribault County, MN"	"27043"	Suppressed	56217	Suppressed
	"Fillmore County, MN"	"27045"	Suppressed	83425	Suppressed
	"Freeborn County, MN"	"27047"	Suppressed	122936	Suppressed
	"Goodhue County, MN"	"27049"	Suppressed	185626	Suppressed
	"Grant County, MN"	"27051"	Suppressed	23789	Suppressed
	"Hennepin County, MN"	"27053"	109	4886015	2.2
	"Houston County, MN"	"27055"	Suppressed	74970	Suppressed
	"Hubbard County, MN"	"27057"	Suppressed	82904	Suppressed
	"Isanti County, MN"	"27059"	Suppressed	154628	Suppressed
	"Itasca County, MN"	"27061"	Suppressed	181725	Suppressed
	"Jackson County, MN"	"27063"	Suppressed	40554	Suppressed
	"Kanabec County, MN"	"27065"	Suppressed	63787	Suppressed
	"Kandiyohi County, MN"	"27067"	Suppressed	169980	Suppressed
	"Kittson County, MN"	"27069"	Suppressed	17612	Suppressed
	"Koochiching County, MN"	"27071"	Suppressed	51431	Suppressed
	"Lac qui Parle County, MN"	"27073"	Suppressed	27459	Suppressed
	"Lake County, MN"	"27075"	Suppressed	42612	Suppressed
	"Lake of the Woods County, MN"	"27077"	Suppressed	15514	Suppressed
	"Le Sueur County, MN"	"27079"	Suppressed	111354	Suppressed
	"Lincoln County, MN"	"27081"	Suppressed	23067	Suppressed
	"Lyon County, MN"	"27083"	Suppressed	102656	Suppressed
	"McLeod County, MN"	"27085"	Suppressed	143616	Suppressed
	"Mahnomen County, MN"	"27087"	Suppressed	22090	Suppressed
	"Marshall County, MN"	"27089"	Suppressed	37621	Suppressed
	"Martin County, MN"	"27091"	Suppressed	80514	Suppressed
	"Meeker County, MN"	"27093"	Suppressed	92459	Suppressed
	"Mille Lacs County, MN"	"27095"	Suppressed	103377	Suppressed
	"Morrison County, MN"	"27097"	Suppressed	131521	Suppressed
	"Mower County, MN"	"27099"	Suppressed	157332	Suppressed
	"Murray County, MN"	"27101"	Suppressed	33762	Suppressed
	"Nicollet County, MN"	"27103"	Suppressed	133438	Suppressed
	"Nobles County, MN"	"27105"	Suppressed	86921	Suppressed
	"Norman County, MN"	"27107"	Suppressed	26545	Suppressed
	"Olmsted County, MN"	"27109"	11	605879	Unreliable
	"Otter Tail County, MN"	"27111"	Suppressed	231277	Suppressed
	"Pennington County, MN"	"27113"	Suppressed	56633	Suppressed
	"Pine County, MN"	"27115"	Suppressed	116471	Suppressed
	"Pipestone County, MN"	"27117"	Suppressed	36909	Suppressed
	"Polk County, MN"	"27119"	Suppressed	126425	Suppressed
	"Pope County, MN"	"27121"	Suppressed	43927	Suppressed
	"Ramsey County, MN"	"27123"	25	2145476	1.2
	"Red Lake County, MN"	"27125"	Suppressed	16185	Suppressed
	"Redwood County, MN"	"27127"	Suppressed	62002	Suppressed
	"Renville County, MN"	"27129"	Suppressed	59728	Suppressed
	"Rice County, MN"	"27131"	Suppressed	261568	Suppressed
	"Rock County, MN"	"27133"	Suppressed	38163	Suppressed
	"Roseau County, MN"	"27135"	Suppressed	62296	Suppressed
	"St. Louis County, MN"	"27137"	20	801920	2.5
	"Scott County, MN"	"27139"	Suppressed	564391	Suppressed
	"Sherburne County, MN"	"27141"	Suppressed	367559	Suppressed
	"Sibley County, MN"	"27143"	Suppressed	59734	Suppressed
	"Stearns County, MN"	"27145"	Suppressed	617534	Suppressed
	"Steele County, MN"	"27147"	Suppressed	146680	Suppressed
	"Stevens County, MN"	"27149"	Suppressed	38965	Suppressed
	"Swift County, MN"	"27151"	Suppressed	37729	Suppressed
	"Todd County, MN"	"27153"	Suppressed	97418	Suppressed
	"Traverse County, MN"	"27155"	Suppressed	13552	Suppressed
	"Wabasha County, MN"	"27157"	Suppressed	85652	Suppressed
	"Wadena County, MN"	"27159"	Suppressed	55105	Suppressed
