"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Cuming County, NE"	"31039"	Suppressed	179326	Suppressed
	"Custer County, NE"	"31041"	Suppressed	211368	Suppressed
	"Dakota County, NE"	"31043"	Suppressed	390549	Suppressed
	"Dawes County, NE"	"31045"	Suppressed	173258	Suppressed
	"Dawson County, NE"	"31047"	Suppressed	458717	Suppressed
	"Deuel County, NE"	"31049"	Suppressed	37651	Suppressed
	"Dixon County, NE"	"31051"	Suppressed	113658	Suppressed
	"Dodge County, NE"	"31053"	Suppressed	692876	Suppressed
	"Douglas County, NE"	"31055"	96	9640628	1.0
	"Dundy County, NE"	"31057"	Suppressed	38683	Suppressed
	"Fillmore County, NE"	"31059"	Suppressed	114669	Suppressed
	"Franklin County, NE"	"31061"	Suppressed	62139	Suppressed
	"Frontier County, NE"	"31063"	Suppressed	54042	Suppressed
	"Furnas County, NE"	"31065"	Suppressed	95316	Suppressed
	"Gage County, NE"	"31067"	Suppressed	426607	Suppressed
	"Garden County, NE"	"31069"	Suppressed	39656	Suppressed
	"Garfield County, NE"	"31071"	Suppressed	37713	Suppressed
	"Gosper County, NE"	"31073"	Suppressed	39081	Suppressed
	"Grant County, NE"	"31075"	Suppressed	12682	Suppressed
	"Greeley County, NE"	"31077"	Suppressed	48581	Suppressed
	"Hall County, NE"	"31079"	Suppressed	1088542	Suppressed
	"Hamilton County, NE"	"31081"	Suppressed	175130	Suppressed
	"Harlan County, NE"	"31083"	Suppressed	67407	Suppressed
	"Hayes County, NE"	"31085"	Suppressed	18986	Suppressed
	"Hitchcock County, NE"	"31087"	Suppressed	56156	Suppressed
	"Holt County, NE"	"31089"	Suppressed	203403	Suppressed
	"Hooker County, NE"	"31091"	Suppressed	13990	Suppressed
	"Howard County, NE"	"31093"	Suppressed	121618	Suppressed
	"Jefferson County, NE"	"31095"	Suppressed	147631	Suppressed
	"Johnson County, NE"	"31097"	Suppressed	96383	Suppressed
	"Kearney County, NE"	"31099"	Suppressed	126369	Suppressed
	"Keith County, NE"	"31101"	Suppressed	159435	Suppressed
	"Keya Paha County, NE"	"31103"	Suppressed	16544	Suppressed
	"Kimball County, NE"	"31105"	Suppressed	73173	Suppressed
	"Knox County, NE"	"31107"	Suppressed	167648	Suppressed
	"Lancaster County, NE"	"31109"	26	5316291	0.5
	"Lincoln County, NE"	"31111"	Suppressed	675364	Suppressed
	"Logan County, NE"	"31113"	Suppressed	14417	Suppressed
	"Loup County, NE"	"31115"	Suppressed	12241	Suppressed
	"McPherson County, NE"	"31117"	Suppressed	9992	Suppressed
	"Madison County, NE"	"31119"	Suppressed	668376	Suppressed
	"Merrick County, NE"	"31121"	Suppressed	150039	Suppressed
	"Morrill County, NE"	"31123"	Suppressed	96363	Suppressed
	"Nance County, NE"	"31125"	Suppressed	71729	Suppressed
	"Nemaha County, NE"	"31127"	Suppressed	137599	Suppressed
	"Nuckolls County, NE"	"31129"	Suppressed	88011	Suppressed
	"Otoe County, NE"	"31131"	Suppressed	298217	Suppressed
	"Pawnee County, NE"	"31133"	Suppressed	53620	Suppressed
	"Perkins County, NE"	"31135"	Suppressed	57439	Suppressed
	"Phelps County, NE"	"31137"	Suppressed	177982	Suppressed
	"Pierce County, NE"	"31139"	Suppressed	140510	Suppressed
	"Platte County, NE"	"31141"	Suppressed	605374	Suppressed
	"Polk County, NE"	"31143"	Suppressed	102895	Suppressed
	"Red Willow County, NE"	"31145"	Suppressed	211226	Suppressed
	"Richardson County, NE"	"31147"	Suppressed	163390	Suppressed
	"Rock County, NE"	"31149"	Suppressed	29302	Suppressed
	"Saline County, NE"	"31151"	Suppressed	269446	Suppressed
	"Sarpy County, NE"	"31153"	13	2874278	Unreliable
	"Saunders County, NE"	"31155"	Suppressed	389564	Suppressed
	"Scotts Bluff County, NE"	"31157"	Suppressed	695067	Suppressed
	"Seward County, NE"	"31159"	Suppressed	318439	Suppressed
	"Sheridan County, NE"	"31161"	Suppressed	106565	Suppressed
	"Sherman County, NE"	"31163"	Suppressed	60268	Suppressed
	"Sioux County, NE"	"31165"	Suppressed	25943	Suppressed
	"Stanton County, NE"	"31167"	Suppressed	118361	Suppressed
	"Thayer County, NE"	"31169"	Suppressed	102665	Suppressed
	"Thomas County, NE"	"31171"	Suppressed	13064	Suppressed
	"Thurston County, NE"	"31173"	Suppressed	133125	Suppressed
	"Valley County, NE"	"31175"	Suppressed	82725	Suppressed
	"Washington County, NE"	"31177"	Suppressed	378160	Suppressed
	"Wayne County, NE"	"31179"	Suppressed	181971	Suppressed
	"Webster County, NE"	"31181"	Suppressed	72631	Suppressed
	"Wheeler County, NE"	"31183"	Suppressed	15550	Suppressed
	"York County, NE"	"31185"	Suppressed	266215	Suppressed
	"Churchill County, NV"	"32001"	12	463671	Unreliable
	"Clark County, NV"	"32003"	401	34674385	1.2
	"Douglas County, NV"	"32005"	10	872951	Unreliable
	"Elko County, NV"	"32007"	Suppressed	912981	Suppressed
	"Esmeralda County, NV"	"32009"	Suppressed	16286	Suppressed
	"Eureka County, NV"	"32011"	Suppressed	33981	Suppressed
	"Humboldt County, NV"	"32013"	Suppressed	306369	Suppressed
	"Lander County, NV"	"32015"	Suppressed	106540	Suppressed
	"Lincoln County, NV"	"32017"	Suppressed	91895	Suppressed
	"Lyon County, NV"	"32019"	12	893631	Unreliable
	"Mineral County, NV"	"32021"	Suppressed	90244	Suppressed
	"Nye County, NV"	"32023"	11	765479	Unreliable
	"Pershing County, NV"	"32027"	Suppressed	126488	Suppressed
	"Storey County, NV"	"32029"	Suppressed	72093	Suppressed
	"Washoe County, NV"	"32031"	109	7688079	1.4
	"White Pine County, NV"	"32033"	Suppressed	180905	Suppressed
	"Carson City, NV"	"32510"	Suppressed	1039408	Suppressed
	"Belknap County, NH"	"33001"	67	1131953	5.9
	"Carroll County, NH"	"33003"	49	886188	5.5
	"Cheshire County, NH"	"33005"	59	1448027	4.1
	"Coos County, NH"	"33007"	35	624003	5.6
	"Grafton County, NH"	"33009"	44	1651099	2.7
	"Hillsborough County, NH"	"33011"	542	7551957	7.2
	"Merrimack County, NH"	"33013"	119	2748576	4.3
	"Rockingham County, NH"	"33015"	300	5566773	5.4
	"Strafford County, NH"	"33017"	153	2298681	6.7
	"Sullivan County, NH"	"33019"	25	810391	3.1
	"Atlantic County, NJ"	"34001"	174	5100957	3.4
	"Bergen County, NJ"	"34003"	192	17216651	1.1
	"Burlington County, NJ"	"34005"	119	8434802	1.4
	"Camden County, NJ"	"34007"	33	9713632	0.3
	"Cape May County, NJ"	"34009"	76	1864929	4.1
	"Cumberland County, NJ"	"34011"	112	2905589	3.9
	"Essex County, NJ"	"34013"	315	15010963	2.1
	"Gloucester County, NJ"	"34015"	26	5304926	0.5
	"Hudson County, NJ"	"34017"	156	12066205	1.3
	"Hunterdon County, NJ"	"34019"	26	2400553	1.1
	"Mercer County, NJ"	"34021"	103	6907353	1.5
	"Middlesex County, NJ"	"34023"	345	15184834	2.3
	"Monmouth County, NJ"	"34025"	265	11895305	2.2
	"Morris County, NJ"	"34027"	132	9277471	1.4
	"Ocean County, NJ"	"34029"	279	10681264	2.6
	"Passaic County, NJ"	"34031"	146	9478774	1.5
	"Salem County, NJ"	"34033"	Suppressed	1233739	Suppressed
	"Somerset County, NJ"	"34035"	93	6043704	1.5
	"Sussex County, NJ"	"34037"	54	2794732	1.9
	"Union County, NJ"	"34039"	145	10183925	1.4
	"Warren County, NJ"	"34041"	56	2036420	2.7
	"Bernalillo County, NM"	"35001"	208	12010214	1.7
	"Catron County, NM"	"35003"	Suppressed	67655	Suppressed
	"Chaves County, NM"	"35005"	19	1210521	Unreliable
	"Cibola County, NM"	"35006"	Suppressed	512702	Suppressed
	"Colfax County, NM"	"35007"	Suppressed	257418	Suppressed
	"Curry County, NM"	"35009"	Suppressed	904993	Suppressed
	"DeBaca County, NM"	"35011"	Suppressed	38227	Suppressed
	"Dona Ana County, NM"	"35013"	35	3766017	0.9
	"Eddy County, NM"	"35015"	15	1014522	Unreliable
	"Grant County, NM"	"35017"	12	561339	Unreliable
	"Guadalupe County, NM"	"35019"	Suppressed	87908	Suppressed
	"Harding County, NM"	"35021"	Suppressed	13874	Suppressed
	"Hidalgo County, NM"	"35023"	Suppressed	94866	Suppressed
	"Lea County, NM"	"35025"	11	1188128	Unreliable
	"Lincoln County, NM"	"35027"	17	378997	Unreliable
	"Los Alamos County, NM"	"35028"	Suppressed	344658	Suppressed
	"Luna County, NM"	"35029"	10	472850	Unreliable
	"McKinley County, NM"	"35031"	Suppressed	1380598	Suppressed
	"Mora County, NM"	"35033"	Suppressed	92832	Suppressed
	"Otero County, NM"	"35035"	25	1204692	2.1
	"Quay County, NM"	"35037"	Suppressed	172974	Suppressed
	"Rio Arriba County, NM"	"35039"	21	764716	2.7
	"Roosevelt County, NM"	"35041"	Suppressed	363885	Suppressed
	"Sandoval County, NM"	"35043"	33	2265598	1.5
	"San Juan County, NM"	"35045"	32	2336335	1.4
	"San Miguel County, NM"	"35047"	18	553484	Unreliable
	"Santa Fe County, NM"	"35049"	39	2672856	1.5
	"Sierra County, NM"	"35051"	Suppressed	229187	Suppressed
	"Socorro County, NM"	"35053"	Suppressed	336992	Suppressed
	"Taos County, NM"	"35055"	12	608817	Unreliable
	"Torrance County, NM"	"35057"	Suppressed	309614	Suppressed
	"Union County, NM"	"35059"	Suppressed	81040	Suppressed
	"Valencia County, NM"	"35061"	19	1380939	Unreliable
	"Albany County, NY"	"36001"	77	5762327	1.3
	"Allegany County, NY"	"36003"	14	930204	Unreliable
	"Bronx County, NY"	"36005"	437	26295679	1.7
	"Broome County, NY"	"36007"	58	3788071	1.5
	"Cattaraugus County, NY"	"36009"	23	1536586	1.5
	"Cayuga County, NY"	"36011"	53	1524037	3.5
	"Chautauqua County, NY"	"36013"	58	2566634	2.3
	"Chemung County, NY"	"36015"	26	1689063	1.5
	"Chenango County, NY"	"36017"	Suppressed	958407	Suppressed
	"Clinton County, NY"	"36019"	20	1548266	1.3
	"Columbia County, NY"	"36021"	26	1191858	2.2
	"Cortland County, NY"	"36023"	17	932051	Unreliable
	"Delaware County, NY"	"36025"	15	902112	Unreliable
